"start_time" "duration" "time_raw" "trial" "blocktrial" "faces_stim"
543.338 6.016 2050749 49 17 "im1_13ms__im2_12fh__im3_1mh__im4_11fs__im5_10ms__im6_16fs__im7_8fh__im8_9mh__im9_3fh__im10_2mh__im11_6ms__im12_4fs__im13_5mh__im14_7fh__im15_14ms__im16_15fs__"
553.299 6.017 2060710 50 18 "im1_9ms__im2_8fs__im3_3fs__im4_10mh__im5_6mh__im6_1ms__im7_7fs__im8_11fh__im9_5ms__im10_15fh__im11_14mh__im12_13mh__im13_4fh__im14_12fs__im15_2ms__im16_16fh__"
563.262 6.015 2070673 51 19 "im1_14mh__im2_15fh__im3_8fs__im4_5ms__im5_12fs__im6_4fh__im7_9ms__im8_16fh__im9_2ms__im10_3fs__im11_13mh__im12_7fs__im13_10mh__im14_6mh__im15_11fh__im16_1ms__"
573.223 6.015 2080634 52 20 "im1_10ms__im2_2mh__im3_11fs__im4_3fh__im5_12fh__im6_15fs__im7_9mh__im8_4fs__im9_1mh__im10_13ms__im11_7fh__im12_14ms__im13_6ms__im14_5mh__im15_16fs__im16_8fh__"
583.184 6.015 2090595 53 21 "im1_15fh__im2_14mh__im3_5ms__im4_8fs__im5_16fh__im6_3fs__im7_4fh__im8_13mh__im9_7fs__im10_6mh__im11_2ms__im12_9ms__im13_11fh__im14_1ms__im15_10mh__im16_12fs__"
593.146 6.015 2100557 54 22 "im1_8fs__im2_2ms__im3_11fh__im4_14mh__im5_3fs__im6_15fh__im7_13mh__im8_4fh__im9_1ms__im10_7fs__im11_9ms__im12_6mh__im13_12fs__im14_5ms__im15_16fh__im16_10mh__"
603.106 6.016 2110517 55 23 "im1_8fh__im2_11fs__im3_14ms__im4_1mh__im5_15fs__im6_3fh__im7_4fs__im8_2mh__im9_7fh__im10_9mh__im11_13ms__im12_6ms__im13_16fs__im14_10ms__im15_12fh__im16_5mh__"
613.084 6.016 2120495 56 24 "im1_14ms__im2_13ms__im3_4fs__im4_2mh__im5_6ms__im6_8fh__im7_16fs__im8_1mh__im9_11fs__im10_5mh__im11_10ms__im12_3fh__im13_12fh__im14_9mh__im15_15fs__im16_7fh__"
623.064 6.014 2130475 57 25 "im1_12fs__im2_1ms__im3_4fh__im4_7fs__im5_11fh__im6_5ms__im7_16fh__im8_6mh__im9_3fs__im10_8fs__im11_10mh__im12_2ms__im13_13mh__im14_9ms__im15_15fh__im16_14mh__"
633.026 6.013 2140437 58 26 "im1_16fh__im2_5ms__im3_6mh__im4_13mh__im5_9ms__im6_12fs__im7_1ms__im8_10mh__im9_8fs__im10_14mh__im11_11fh__im12_15fh__im13_7fs__im14_2ms__im15_4fh__im16_3fs__"
642.984 6.016 2150395 59 27 "im1_2mh__im2_10ms__im3_3fh__im4_5mh__im5_4fs__im6_1mh__im7_14ms__im8_13ms__im9_12fh__im10_7fh__im11_15fs__im12_9mh__im13_11fs__im14_6ms__im15_8fh__im16_16fs__"
652.95 6.012 2160361 60 28 "im1_15fs__im2_8fh__im3_5mh__im4_14ms__im5_13ms__im6_4fs__im7_3fh__im8_16fs__im9_9mh__im10_6ms__im11_2mh__im12_7fh__im13_1mh__im14_12fh__im15_10ms__im16_11fs__"
662.907 6.016 2170318 61 29 "im1_7fh__im2_6ms__im3_15fs__im4_4fs__im5_2mh__im6_5mh__im7_10ms__im8_11fs__im9_14ms__im10_16fs__im11_8fh__im12_12fh__im13_9mh__im14_3fh__im15_13ms__im16_1mh__"
672.869 6.015 2180280 62 30 "im1_12fh__im2_5mh__im3_8fh__im4_15fs__im5_16fs__im6_9mh__im7_13ms__im8_7fh__im9_6ms__im10_4fs__im11_3fh__im12_2mh__im13_14ms__im14_11fs__im15_1mh__im16_10ms__"
682.855 6.007 2190266 63 31 "im1_6mh__im2_7fs__im3_16fh__im4_9ms__im5_14mh__im6_10mh__im7_11fh__im8_1ms__im9_15fh__im10_12fs__im11_5ms__im12_8fs__im13_2ms__im14_13mh__im15_3fs__im16_4fh__"
692.808 6.016 2200219 64 32 "im1_1mh__im2_4fs__im3_6ms__im4_7fh__im5_14ms__im6_12fh__im7_11fs__im8_8fh__im9_2mh__im10_10ms__im11_5mh__im12_16fs__im13_3fh__im14_15fs__im15_9mh__im16_13ms__"
767.853 6.015 2275264 65 1 "im1_11fn__im2_13mn__im3_10mh__im4_8fh__im5_4fh__im6_15fh__im7_7fn__im8_6mh__im9_12fh__im10_2mh__im11_5mn__im12_14mn__im13_3fn__im14_16fn__im15_9mn__im16_1mh__"
777.839 6.007 2285250 66 2 "im1_10mn__im2_11fh__im3_9mh__im4_4fn__im5_15fn__im6_16fh__im7_5mh__im8_7fh__im9_14mh__im10_2mn__im11_8fn__im12_6mn__im13_1mn__im14_12fn__im15_3fh__im16_13mh__"
787.793 6.015 2295204 67 3 "im1_2ms__im2_3fn__im3_10mn__im4_4fs__im5_9mn__im6_14ms__im7_15fs__im8_16fs__im9_13ms__im10_11fn__im11_1mn__im12_7fn__im13_5mn__im14_8fs__im15_6ms__im16_12fn__"
797.771 6.015 2305182 68 4 "im1_11fn__im2_8fs__im3_6ms__im4_1mn__im5_12fn__im6_2ms__im7_4fs__im8_13ms__im9_15fs__im10_7fn__im11_5mn__im12_9mn__im13_3fn__im14_14ms__im15_16fs__im16_10mn__"
807.749 6.015 2315160 69 5 "im1_1mh__im2_15fh__im3_6mh__im4_4fh__im5_10mh__im6_8fh__im7_16fn__im8_14mn__im9_9mn__im10_5mn__im11_2mh__im12_3fn__im13_12fh__im14_7fn__im15_13mn__im16_11fn__"
817.71 6.015 2325121 70 6 "im1_16fn__im2_2mh__im3_7fn__im4_12fh__im5_11fn__im6_4fh__im7_14mn__im8_13mn__im9_8fh__im10_3fn__im11_10mh__im12_5mn__im13_15fh__im14_6mh__im15_1mh__im16_9mn__"
827.687 6.016 2335098 71 7 "im1_6ms__im2_9mn__im3_11fn__im4_16fs__im5_7fn__im6_5mn__im7_12fn__im8_10mn__im9_4fs__im10_2ms__im11_8fs__im12_13ms__im13_1mn__im14_3fn__im15_15fs__im16_14ms__"
837.649 6.016 2345060 72 8 "im1_8fn__im2_1ms__im3_11fs__im4_6mn__im5_5ms__im6_7fs__im7_9ms__im8_2mn__im9_12fs__im10_4fn__im11_13mn__im12_15fn__im13_14mn__im14_10ms__im15_16fn__im16_3fs__"
