"onset" "duration" "sample" "trial_type" "eventIdentifier" "event_nr" "aoi" "trial" "target_word" "color" "mask" "underlining" "sentenceNr" "response"
311.433 2.17 12353195 "Exp.Trial" "MASKSCREEN_START_Getön_E_DEG_N_265" 56 "[[254,331,384,384]]" 56 "Getön" "blue" "degradated" "not underlined" "175" NA
316.637 1.647 12358399 "Exp.Trial" "MASKSCREEN_START_Feder_E_DEG_U_314" 57 "[[303,380,384,384]]" 57 "Feder" "blue" "degradated" "underlined" "231" NA
322.712 1.914 12364474 "Exp.Trial" "MASKSCREEN_START_Blatt_K_LET_N_228" 58 "[[217,294,384,384]]" 58 "Blatt" "black" "non-degradated" "not underlined" "115" NA
328.785 2.062 12370547 "Exp.Trial" "MASKSCREEN_START_Rinde_K_LET_U_314" 59 "[[303,380,384,384]]" 59 "Rinde" "black" "non-degradated" "underlined" "148" NA
333.784 2.849 12375546 "Exp.Trial" "MASKSCREEN_START_König_E_DEG_N_550" 60 "[[539,616,384,384]]" 60 "König" "blue" "degradated" "not underlined" "178" NA
338.758 2.47 12380520 "Exp.Trial" "MASKSCREEN_START_Nagel_K_DEG_U_376" 61 "[[365,442,384,384]]" 61 "Nagel" "black" "degradated" "underlined" "65" NA
344.684 3.251 12386446 "Exp.Trial" "MASKSCREEN_START_Sigma_E_DEG_U_302" 62 "[[291,368,384,384]]" 62 "Sigma" "blue" "degradated" "underlined" "234" NA
349.63 2.98 12391392 "Exp.Trial" "MASKSCREEN_START_Votum_E_LET_U_265" 63 "[[254,331,384,384]]" 63 "Votum" "blue" "non-degradated" "underlined" "317" NA
355.458 1.954 12397220 "Exp.Trial" "MASKSCREEN_START_Pedal_E_DEG_U_314" 64 "[[303,380,384,384]]" 64 "Pedal" "blue" "degradated" "underlined" "214" NA
359.421 2.642 12401183 "Exp.Trial" "MASKSCREEN_START_Ungar_K_LET_N_327" 65 "[[316,393,384,384]]" 65 "Ungar" "black" "non-degradated" "not underlined" "95" NA
363.657 2.618 12405419 "Exp.Trial" "MASKSCREEN_START_Etage_E_LET_N_228" 66 "[[217,294,384,384]]" 66 "Etage" "blue" "non-degradated" "not underlined" "260" NA
369.552 1.745 12411314 "Exp.Trial" "MASKSCREEN_START_Falle_E_LET_N_339" 67 "[[328,405,384,384]]" 67 "Falle" "blue" "non-degradated" "not underlined" "244" 0
376.05 1.922 12417812 "Exp.Trial" "MASKSCREEN_START_Delta_K_LET_U_302" 68 "[[291,368,384,384]]" 68 "Delta" "black" "non-degradated" "underlined" "131" NA
381.281 2.552 12423043 "Exp.Trial" "MASKSCREEN_START_Prinz_E_DEG_N_265" 69 "[[254,331,384,384]]" 69 "Prinz" "blue" "degradated" "not underlined" "166" 0
389.798 2.991 12431560 "Exp.Trial" "MASKSCREEN_START_Zinke_E_DEG_N_240" 70 "[[229,306,384,384]]" 70 "Zinke" "blue" "degradated" "not underlined" "168" NA
394.657 2.97 12436419 "Exp.Trial" "MASKSCREEN_START_Orbit_E_LET_U_228" 71 "[[217,294,384,384]]" 71 "Orbit" "blue" "non-degradated" "underlined" "287" NA
400.167 3.265 12441929 "Exp.Trial" "MASKSCREEN_START_Werft_K_LET_N_376" 72 "[[365,442,384,384]]" 72 "Werft" "black" "non-degradated" "not underlined" "87" NA
405.192 2.309 12446954 "Exp.Trial" "MASKSCREEN_START_Möbel_E_DEG_U_290" 73 "[[279,356,384,384]]" 73 "Möbel" "blue" "degradated" "underlined" "226" NA
410.083 2.657 12451845 "Exp.Trial" "MASKSCREEN_START_Quart_K_LET_U_414" 74 "[[403,480,384,384]]" 74 "Quart" "black" "non-degradated" "underlined" "146" NA
415.335 3.477 12457097 "Exp.Trial" "MASKSCREEN_START_Sense_K_DEG_U_252" 75 "[[241,318,384,384]]" 75 "Sense" "black" "degradated" "underlined" "44" NA
421.336 1.941 12463098 "Exp.Trial" "MASKSCREEN_START_Aktie_E_LET_N_265" 76 "[[254,331,384,384]]" 76 "Aktie" "blue" "non-degradated" "not underlined" "248" NA
427.384 2.508 12469146 "Exp.Trial" "MASKSCREEN_START_Zucht_K_LET_N_314" 77 "[[303,380,384,384]]" 77 "Zucht" "black" "non-degradated" "not underlined" "111" NA
431.581 2.404 12473343 "Exp.Trial" "MASKSCREEN_START_Bürde_E_DEG_U_290" 78 "[[279,356,384,384]]" 78 "Bürde" "blue" "degradated" "underlined" "238" NA
437.354 2.111 12479116 "Exp.Trial" "MASKSCREEN_START_Beton_K_LET_U_277" 79 "[[266,343,384,384]]" 79 "Beton" "black" "non-degradated" "underlined" "125" NA
442.645 2.192 12484407 "Exp.Trial" "MASKSCREEN_START_Müsli_E_DEG_U_426" 80 "[[415,492,384,384]]" 80 "Müsli" "blue" "degradated" "underlined" "210" NA
446.762 1.978 12488524 "Exp.Trial" "MASKSCREEN_START_These_K_DEG_U_376" 81 "[[365,442,384,384]]" 81 "These" "black" "degradated" "underlined" "53" NA
450.246 2.091 12492008 "Exp.Trial" "MASKSCREEN_START_Stube_E_LET_N_240" 82 "[[229,306,384,384]]" 82 "Stube" "blue" "non-degradated" "not underlined" "273" NA
455.277 2.083 12497039 "Exp.Trial" "MASKSCREEN_START_Kater_E_LET_N_277" 83 "[[266,343,384,384]]" 83 "Kater" "blue" "non-degradated" "not underlined" "252" 0
462.998 1.522 12504760 "Exp.Trial" "MASKSCREEN_START_Enkel_E_DEG_U_277" 84 "[[266,343,384,384]]" 84 "Enkel" "blue" "degradated" "underlined" "205" NA
466.158 1.672 12507920 "Exp.Trial" "MASKSCREEN_START_Reuse_E_LET_U_327" 85 "[[316,393,384,384]]" 85 "Reuse" "blue" "non-degradated" "underlined" "315" NA
469.423 2.939 12511185 "Exp.Trial" "MASKSCREEN_START_Tisch_K_DEG_U_488" 86 "[[477,554,384,384]]" 86 "Tisch" "black" "degradated" "underlined" "62" NA
474.049 2.701 12515811 "Exp.Trial" "MASKSCREEN_START_Erlös_K_DEG_U_476" 87 "[[465,542,384,384]]" 87 "Erlös" "black" "degradated" "underlined" "47" NA
478.339 2.296 12520101 "Exp.Trial" "MASKSCREEN_START_Bitte_E_DEG_U_252" 88 "[[241,318,384,384]]" 88 "Bitte" "blue" "degradated" "underlined" "235" NA
482.135 2.285 12523897 "Exp.Trial" "MASKSCREEN_START_Nonne_E_DEG_N_265" 89 "[[254,331,384,384]]" 89 "Nonne" "blue" "degradated" "not underlined" "198" NA
486.145 2.006 12527907 "Exp.Trial" "MASKSCREEN_START_Decke_K_LET_N_414" 90 "[[403,480,384,384]]" 90 "Decke" "black" "non-degradated" "not underlined" "86" NA
491.695 1.526 12533457 "Exp.Trial" "MASKSCREEN_START_Knast_E_LET_N_327" 91 "[[316,393,384,384]]" 91 "Knast" "blue" "non-degradated" "not underlined" "278" 0
499.534 2.013 12541296 "Exp.Trial" "MASKSCREEN_START_Anbau_E_LET_N_302" 92 "[[291,368,384,384]]" 92 "Anbau" "blue" "non-degradated" "not underlined" "250" NA
504.925 2.159 12546687 "Exp.Trial" "MASKSCREEN_START_Raupe_K_LET_U_339" 93 "[[328,405,384,384]]" 93 "Raupe" "black" "non-degradated" "underlined" "153" NA
511.094 1.693 12552856 "Exp.Trial" "MASKSCREEN_START_Anruf_K_LET_N_376" 94 "[[365,442,384,384]]" 94 "Anruf" "black" "non-degradated" "not underlined" "91" 0
519.13 2.893 12560892 "Exp.Trial" "MASKSCREEN_START_Elite_E_DEG_U_290" 95 "[[279,356,384,384]]" 95 "Elite" "blue" "degradated" "underlined" "233" NA
523.453 2.444 12565215 "Exp.Trial" "MASKSCREEN_START_Tolle_E_LET_U_513" 96 "[[502,579,384,384]]" 96 "Tolle" "blue" "non-degradated" "underlined" "300" NA
528.716 1.828 12570478 "Exp.Trial" "MASKSCREEN_START_Sitte_K_LET_U_290" 97 "[[279,356,384,384]]" 97 "Sitte" "black" "non-degradated" "underlined" "151" NA
532.282 3.375 12574044 "Exp.Trial" "MASKSCREEN_START_Waage_E_LET_N_302" 98 "[[291,368,384,384]]" 98 "Waage" "blue" "non-degradated" "not underlined" "255" NA
538.189 2.223 12579951 "Exp.Trial" "MASKSCREEN_START_Waffe_E_DEG_N_389" 99 "[[378,455,384,384]]" 99 "Waffe" "blue" "degradated" "not underlined" "174" NA
542.008 2.774 12583770 "Exp.Trial" "MASKSCREEN_START_Gicht_K_DEG_N_401" 100 "[[390,467,384,384]]" 100 "Gicht" "black" "degradated" "not underlined" "33" NA
547.376 2.752 12589138 "Exp.Trial" "MASKSCREEN_START_Götze_E_DEG_N_488" 101 "[[477,554,384,384]]" 101 "Götze" "blue" "degradated" "not underlined" "179" NA
551.722 2.246 12593484 "Exp.Trial" "MASKSCREEN_START_Treff_E_LET_N_302" 102 "[[291,368,384,384]]" 102 "Treff" "blue" "non-degradated" "not underlined" "270" NA
556.941 2.639 12598703 "Exp.Trial" "MASKSCREEN_START_Depot_K_LET_U_252" 103 "[[241,318,384,384]]" 103 "Depot" "black" "non-degradated" "underlined" "135" NA
561.258 3.095 12603020 "Exp.Trial" "MASKSCREEN_START_Drill_K_LET_U_339" 104 "[[328,405,384,384]]" 104 "Drill" "black" "non-degradated" "underlined" "128" NA
566.455 3.462 12608217 "Exp.Trial" "MASKSCREEN_START_Abbau_E_LET_U_376" 105 "[[365,442,384,384]]" 105 "Abbau" "blue" "non-degradated" "underlined" "302" NA
571.513 3.374 12613275 "Exp.Trial" "MASKSCREEN_START_Ahorn_E_DEG_N_228" 106 "[[217,294,384,384]]" 106 "Ahorn" "blue" "degradated" "not underlined" "193" NA
576.738 2.131 12618500 "Exp.Trial" "MASKSCREEN_START_Gebet_K_LET_U_339" 107 "[[328,405,384,384]]" 107 "Gebet" "black" "non-degradated" "underlined" "156" NA
580.654 4.167 12622416 "Exp.Trial" "MASKSCREEN_START_Garde_K_DEG_N_364" 108 "[[353,430,384,384]]" 108 "Garde" "black" "degradated" "not underlined" "39" NA
587.585 2.327 12629347 "Exp.Trial" "MASKSCREEN_START_Major_E_DEG_N_252" 109 "[[241,318,384,384]]" 109 "Major" "blue" "degradated" "not underlined" "195" 0
596.579 2.417 12638341 "Exp.Trial" "MASKSCREEN_START_Pulle_K_DEG_U_339" 110 "[[328,405,384,384]]" 110 "Pulle" "black" "degradated" "underlined" "48" NA
601.943 2.507 12643705 "Exp.Trial" "MASKSCREEN_START_Karat_K_DEG_N_339" 111 "[[328,405,384,384]]" 111 "Karat" "black" "degradated" "not underlined" "37" NA
607.91 2.959 12649672 "Exp.Trial" "MASKSCREEN_START_Strom_E_DEG_N_240" 112 "[[229,306,384,384]]" 112 "Strom" "blue" "degradated" "not underlined" "163" NA
612.584 2.726 12654346 "Exp.Trial" "MASKSCREEN_START_Beleg_E_DEG_U_327" 113 "[[316,393,384,384]]" 113 "Beleg" "blue" "degradated" "underlined" "212" NA
618.498 2.572 12660260 "Exp.Trial" "MASKSCREEN_START_Zitat_E_LET_U_376" 114 "[[365,442,384,384]]" 114 "Zitat" "blue" "non-degradated" "underlined" "311" NA
622.654 3.878 12664416 "Exp.Trial" "MASKSCREEN_START_Kluft_E_LET_N_277" 115 "[[266,343,384,384]]" 115 "Kluft" "blue" "non-degradated" "not underlined" "258" NA
628.184 2.473 12669946 "Exp.Trial" "MASKSCREEN_START_Bauer_E_DEG_N_389" 116 "[[378,455,384,384]]" 116 "Bauer" "blue" "degradated" "not underlined" "196" NA
632.287 1.503 12674049 "Exp.Trial" "MASKSCREEN_START_Seide_K_LET_U_339" 117 "[[328,405,384,384]]" 117 "Seide" "black" "non-degradated" "underlined" "152" NA
